Your team at CoderGen, a startup focused on mobile app development, needs a new build automation server for their latest project. The team has decided to use Jenkins, and you are tasked with setting up the server with minimal effort. What approach should you take?;Use GCP Marketplace to launch a pre-configured Jenkins solution.;Download and deploy the Jenkins Java WAR to App Launch Standard.;Create a new Compute Engine instance and install Jenkins via the command line.;Set up a Kubernetes cluster on Compute Engine and create a deployment using the Jenkins Docker image.
ByteCrafters, a company that develops an e-commerce platform called ShopStream, needs to update the configuration of its infrastructure using Deployment Manager. They want to ensure that there is no downtime for any resources while performing the update. Which command should their DevOps team use to achieve this?;gcloud deployment-manager deployments update --config <deployment-config-path>;gcloud deployment-manager deployments create --config <deployment-config-path>;gcloud deployment-manager resources create --config <deployment-config-path>;gcloud deployment-manager resources update --config <deployment-config-path>
A tech startup called TechSpire has developed a performance-monitoring app that needs to run on Google Cloud Platform. The app is a single binary application, and they want to automatically scale it based on the CPU usage of the underlying infrastructure. Due to their company policies, they are required to directly use virtual machines. TechSpire wants to ensure that the scaling process is operationally efficient and happens as quickly as possible. What should they do? (Note: Stackdriver is now called 'Google Cloud's Operation Suite');Create an instance template, and use the template in a managed instance group with autoscaling configured.;Create a Google Kubernetes Engine cluster, and use horizontal pod autoscaling to scale the application.;Create an instance template, and use the template in a managed instance group that scales up and down based on the time of day.;Use a set of third-party tools to build automation around scaling the application up and down, based on Stackdriver CPU usage monitoring.
You have a virtual Linux server for an online education platform that needs to connect to a Cloud SQL database. You have created a service account with the necessary permissions. Now, you need to ensure that this virtual machine uses the custom service account instead of the default one assigned by Compute Engine. What should you do?;When creating the VM via the web console specify the service account under the 'Identity and API Access' section.;- Download a JSON Private Key for the service account. - On the Project Metadata, add that JSON as the value for the key compute-engine-service-account.;- Download a JSON Private Key for the service account. - On the Custom Metadata of the VM, add that JSON as the value for the key compute-engine-service-account.;- Download a JSON Private Key for the service account. - After creating the VM, ssh into the VM and save the JSON under ~/.gcloud/compute-engine-service-account.json.
Imagine that you’re testing a new feature for a website called BookshelfHub, a platform that connects book lovers and independent bookstores. You’ve created an instance of SQL Server 2017 on Compute Engine to try out some database updates specific to the latest version. Now, you want to connect to this SQL Server instance on Compute Engine using the simplest and quickest setup. What should you do?;- Set a Windows username and password in the GCP Console. - Confirm that a firewall rule for port 3389 is in place. - Click the RDP button in the GCP Console to log in using those credentials.;- Install an RDP client on your desktop. - Verify that a firewall rule for port 3389 is set.;- Install an RDP client on your desktop. - Set a Windows username and password in the GCP Console. - Use those credentials to log in to the instance.;- Set a Windows password in the GCP Console. - Ensure there’s a firewall rule for port 22. - Click the RDP button in the GCP Console, providing the credentials to log in.
Your company, ByteFrame Solutions, has a dedicated project for storing container images in the Artifact Registry. In a separate project, you are setting up a new GKE cluster for a web application you're deploying. You need to ensure that the Kubernetes cluster can pull container images from the Artifact Registry in the other project. What steps should you take?;In the project where the container images are stored, assign the Artifact Registry Reader IAM role to the service account used by the Kubernetes nodes.;When creating the GKE cluster, select the Allow full access to all Cloud APIs option under 'Access scopes'.;Create a new service account and grant it access to Artifact Registry. Generate a JSON key for the service account and use it as an imagePullSecrets in Kubernetes.;Set the Artifact Registry permissions on each container image manually to provide read-only access to the default Compute Engine service account.
You are setting up a Windows virtual machine for ByteSpace, a fictional app that analyzes large datasets in the cloud. You want to ensure that your team can log in to the VM via Remote Desktop Protocol (RDP). What is the best approach?;After the VM has been created, use “gcloud compute reset-windows-password” to retrieve the login credentials for the VM.;After the VM has been created, use your Google Account credentials to log in to the VM.;When creating the VM, add metadata to the instance using 'windows-password' as the key and a password as the value.;After the VM has been created, download the JSON private key for the default Compute Engine service account. Use the credentials in the JSON file to log in to the VM.
A startup called RepliNet needs a scalable solution to automatically provision virtual machines (VMs) on Google Compute Engine. The configuration for these VMs, including specifications like CPU, memory, and storage, is stored in a separate configuration file. They want to use a method that aligns with Google's best practices. Which method should RepliNet use?;Deployment Manager;Cloud Composer;Managed Instance Group;Unmanaged Instance Group
You are developing a new version of a popular task management app called TaskMaster, hosted on App Engine. You want to roll out the new version to just 1% of users initially, allowing you to monitor its performance before fully switching over to this new version for all users. What approach should you take?;Deploy the new version of TaskMaster in App Engine, then go to App Engine settings in GCP Console and split the traffic between the current version and the new version.;Deploy the new version of TaskMaster in Google Kubernetes Engine instead of App Engine, then use GCP Console to split the traffic.;Deploy the new version in a Compute Engine instance instead of App Engine, then use GCP Console to split the traffic.;Deploy the new version as a separate app in App Engine. Then configure App Engine using GCP Console to split traffic between the two apps.
Your company, VideoStreamCo, manages a popular video-sharing platform where users upload their videos to a specific Cloud Storage Regional bucket. To optimize storage costs, you need to implement a policy that moves videos to Coldline storage after 90 days and deletes them after one year from their creation date. How should you configure this policy?;- Use Cloud Storage Object Lifecycle Management with Age conditions, setting the actions to SetStorageClass and Delete. - Configure the SetStorageClass action to 90 days and the Delete action to 365 days.;- Use Cloud Storage Object Lifecycle Management with Age conditions, setting the actions to SetStorageClass and Delete. - Configure the SetStorageClass action to move videos to Coldline after 90 days and the Delete action to remove them after 275 days (365 - 90).;Use gsutil rewrite and set the Delete action to 275 days (365-90).;Use gsutil rewrite and set the Delete action to 365 days.
You are a developer at a company called TechHive, and you've been assigned to deploy a newly built containerized application on Kubernetes Engine. The app has been containerized using a Dockerfile. What steps should you follow to ensure a successful deployment?;- Create a docker image from the Dockerfile and upload it to the Container Registry. - Create a Deployment YAML file to point to that image. Use kubectl to create the deployment with that file.;Use “kubectl app deploy <dockerfilename>”.;Use “gcloud app deploy <dockerfilename>”.;- Create a docker image from the Dockerfile and upload it to Cloud Storage. - Create a Deployment YAML file to point to that image. - Use kubectl to create the deployment with that file.
You've been hired by a new tech startup, SpaceyMedia, to manage their cloud infrastructure on Google Cloud. One of your tasks is to produce a list of all the enabled Google Cloud Platform APIs for their GCP project. The project name is spacey-media-app. You need to use the gcloud command line within Cloud Shell to get this information. How do you proceed?;Run “gcloud projects list” to get the project ID, and then run “gcloud services list --project <project ID>”.;Run “gcloud init” to set the current project to spacey-media-app, and then run “gcloud services list --available”.;Run “gcloud info” to view the account value, and then run “gcloud services list --account <Account>”.;Run “gcloud projects describe <project ID>” to verify the project value, and then run “gcloud services list --available”.
You are managing expenses for three different departments within your company’s online fitness platform. You need to create accurate cost estimates for various cloud services, broken down by service type, on a daily and monthly basis for the upcoming six months. The goal is to use standard query syntax for this analysis. What should you do?;Export your bill to a BigQuery dataset, and then write time window-based SQL queries for analysis.;Export your bill to a Cloud Storage bucket, and then import it into Cloud Bigtable for analysis.;Export your bill to a Cloud Storage bucket, and then import it into Google Sheets for analysis.;Export your transactions to a local file, and perform analysis with a desktop tool.
You are managing the infrastructure for a new social media platform called SnapChirp, which allows users to share short audio clips. The platform is hosted on Google Kubernetes Engine with autoscaling enabled to handle fluctuating user traffic. You now need to expose SnapChirp's frontend application to the public, using HTTPS on a public IP address. What steps should you take?;Create a Kubernetes Service of type NodePort for your application, and a Kubernetes Ingress to expose this Service via a Cloud Load Balancer.;Create a Kubernetes Service of type ClusterIP for your application. Configure the public DNS name of your application using the IP of this Service.;Create a Kubernetes Service of type NodePort to expose the application on port 443 of each node of the Kubernetes cluster. Configure the public DNS name of your application with the IP of every node of the cluster to achieve load-balancing.;- Create a HAProxy pod in the cluster to load-balance the traffic to all the pods of the application. - Forward the public traffic to HAProxy with an iptable rule. - Configure the DNS name of your application using the public IP of the node HAProxy is running on.
A startup called "EcoScan" is building an app that tracks and analyzes environmental data across multiple locations. They want to add a new team member, an auditor, who needs access to review all aspects of the project but should not have permission to make changes to any of the data or settings. How should EcoScan configure the auditor's permissions?;- Select the built-in IAM project Viewer role. - Add the auditor's account to this role.;- Create a custom role with view-only project permissions. - Add the auditor's account to the custom role.;- Create a custom role with view-only service permissions. - Add the auditor's account to the custom role.;- Select the built-in IAM service Viewer role. - Add the auditor's account to this role.
