A new online art gallery platform, Artiverse, has 35 GB of high-resolution digital art stored in a single file that needs to be uploaded to their Nearline Storage bucket on Google Cloud. The team is working with a WAN connection rated at 1 Gbps, and there is no other traffic on this connection. To maximize the upload speed and utilize as much of the available 1 Gbps bandwidth as possible, what should Artiverse do to transfer the file efficiently?;B. Enable parallel composite uploads using gsutil on the file transfer.;A. Use the GCP Console to transfer the file instead of gsutil.;C. Decrease the TCP window size on the machine initiating the transfer.;D. Change the storage class of the bucket from Nearline to Multi-Regional.
You are managing a fleet of automated weather monitoring stations for a fictional company, WeatherWise Analytics. Each station runs on virtual machines in a managed instance group with autoscaling enabled to handle spikes in data processing. The autoscaling policy is set up so that if CPU utilization of the VMs exceeds 85%, additional instances are added to the group. Currently, HTTP health checks with an initial delay of 45 seconds are configured to verify instance availability. However, each VM takes about two minutes to become ready for data processing. You've noticed that when traffic increases and the instance group autoscales, it often adds more instances than necessary. You aim to balance the instance group size more accurately with user demand during autoscaling. What should you do?;D. Increase the initial delay of the HTTP health check to 200 seconds.;A. Set the maximum number of instances to 1.;B. Decrease the maximum number of instances to 3.;C. Use a TCP health check instead of an HTTP health check.
A new company called NightlyReportsCo runs an app that processes large sets of customer data every night. Each data processing task takes approximately 2 hours to complete and runs overnight. The company wants to reduce the overall cost of running these nightly batch-processing jobs. What should NightlyReportsCo do?;C. - Select Compute Engine. - Use preemptible VM instances of the appropriate standard machine type.;A. - Select Google Kubernetes Engine. - Use a single-node cluster with a small instance type.;B. - Select Google Kubernetes Engine. - Use a three-node cluster with micro instance types.;D. - Select Compute Engine. - Use VM instance types that support micro bursting.
You've been tasked with setting up 10 virtual servers for StreamFlow, a video streaming platform. These servers must remain available even during system maintenance. Additionally, if a server crashes, it should automatically restart. How should you configure the servers?;A. - Create an instance template for the servers. - Set the 'Automatic Restart' to on. - Set the 'On-host maintenance' to Migrate VM instance. - Add the instance template to an instance group.;B. - Create an instance template for the servers. - Set 'Automatic Restart' to off. - Set 'On-host maintenance' to Terminate VM instances. - Add the instance template to an instance group.;C. - Create an instance group for the servers. - Set the 'Autohealing' health check to healthy (HTTP).;D. - Create an instance group for the servers. - Verify that the 'Advanced creation options' setting for 'do not retry machine creation' is set to off.
You are managing the infrastructure for a new gaming app called PlayWorld. PlayWorld has two types of server environments: production and testing. You plan to deploy both types of servers on Compute Engine. The production servers need to be on a different subnet than the test servers. All servers must communicate with each other using Internal IPs, and no additional routing should be necessary. You need to configure the VPC and subnets accordingly. What setup will achieve this?;A. - Create a single custom VPC with 2 subnets. - Create each subnet in a different region and with a different CIDR range.;B. - Create a single custom VPC with 2 subnets. - Create each subnet in the same region and with the same CIDR range.;C. - Create 2 custom VPCs, each with a single subnet. - Create each subnet in a different region and with a different CIDR range.;D. - Create 2 custom VPCs, each with a single subnet. - Create each subnet in the same region and with the same CIDR range.
In the context of a fictional company, let's say you're working at "TechSphere Solutions," and you have a web app called "TaskMate" that you need to host on a Compute Engine instance. The project environment is shared with multiple departments, and you're concerned about ensuring that other teams don't unintentionally bring the TaskMate app offline. Which feature would best help you achieve this?;D. Enable deletion protection on the instance.;A. Use a Shielded VM.;B. Use a Preemptible VM.;C. Use a sole-tenant node.
Your team at the startup QuickFoodie is working on a new food delivery application, and you've been tasked with testing a new feature that interacts with Cloud Datastore. You have a developer laptop running Ubuntu, and the Cloud SDK has already been installed via the Google Cloud Ubuntu package repository. You need to test your app locally by simulating Cloud Datastore. What should you do?;C. Install the google-cloud-sdk-datastore-emulator component using the “apt get install” command.;A. Export Cloud Datastore data using “gcloud datastore export”.;B. Create a Cloud Datastore index using “gcloud datastore indexes create”.;D. Install the cloud-datastore-emulator component using the “gcloud components install” command.
You are working as a senior app developer at a tech firm. One of your colleagues has deployed a microservice called ‘order-manager’ to your Kubernetes cluster using the YAML configuration file. While reviewing this configuration, you noticed that the database password is included in the YAML file as plain text. You want to propose some security best practices to your colleague. What should you suggest?;- The database password should be stored inside a Secret object. - Modify the YAML file to populate the DB_PASSWORD environment variable from the Secret.;- The database password should be stored inside the Docker image of the container, not in the YAML file.;- The database password should be stored inside a ConfigMap object. - Modify the YAML file to populate the DB_PASSWORD environment variable from the ConfigMap.;- The database password should be stored in a file inside a Kubernetes persistent volume - Persistent volume claim should be used to mount the volume to the container.
Your company, AppLoom, has developed a large-scale web platform hosted on Google Cloud. The platform’s infrastructure involves a vast hierarchy of folders and projects. Only a select group of team members should have the ability to view the full organizational structure. To ensure this is done securely and with minimal permissions, following Google Cloud’s best practices is essential. What should you do?;C. Add the users to a group, and add this group to roles/browser.;A. Add the users to roles/browser role.;B. Add the users to roles/iam.roleViewer role.;D. Add the users to a group, and add this group to roles/iam.roleViewer role.
Your team at TechTonic Solutions recently developed a new productivity app called WorkSync. After running “gcloud app deploy” to push the app to the cloud, you noticed that the deployment didn't happen on the correct Google Cloud project. Now, you're trying to figure out what went wrong and where the app was actually deployed. What should you do to investigate this issue?;D. Go to Cloud Shell and run “gcloud config list” to see the Google Cloud configuration used for the deployment.;A. Check the app.yaml file for WorkSync and review the project settings.;B. Check the web-application.xml file for WorkSync and review the project settings.;C. Go to Deployment Manager and review the deployment settings for your applications.
Your company, AcmeSolutions, has a single sign-on (SSO) identity provider that supports Security Assertion Markup Language (SAML) integration with external service providers. AcmeSolutions also has users managed in Cloud Identity. You want these users to authenticate using AcmeSolutions' SSO provider for accessing your applications and services. What is the best course of action?;B. In Cloud Identity, set up SSO with a third-party identity provider with Google as a service provider.;A. In Cloud Identity, set up SSO with Google as an identity provider to access custom SAML apps.;C. Obtain OAuth 2.0 credentials, configure the user consent screen, and set up OAuth 2.0 for Mobile & Desktop Apps.;D. Obtain OAuth 2.0 credentials, configure the user consent screen, and set up OAuth 2.0 for Web Server Applications.
