Your company, CloudSnap Technologies, manages all service accounts in a project called central-sa. You need to enable a service account from central-sa to take snapshots of virtual machines (VMs) running in a separate project called prod-vm. What steps should you take to achieve this?;Grant the service account the IAM role of Compute Storage Admin in the project called prod-vm.;Download the private key from the service account and add it to each VM’s custom metadata.;Download the private key from the service account and add it to each VM’s SSH keys.;When creating the VMs, set the service account's API scope for Compute Engine to read/write.
A tech startup called GlazeTech is building a new application that relies on Google Cloud Spanner to manage its data. The team needs to grant access to three developers so they can both view and modify table data within a Cloud Spanner instance. What should you do to ensure they have the correct permissions?;- Run “gcloud iam roles describe roles/spanner.databaseUser”. - Add the developers to a new group. - Add the group to the role.;- Run “gcloud iam roles describe roles/spanner.databaseUser”. - Add the developers to the role.;- Run “gcloud iam roles describe roles/spanner.viewer --project glaze-project”. - Add the developers to the role.;- Run “gcloud iam roles describe roles/spanner.viewer --project glaze-project”. - Add the developers to a new group. - Add the group to the role.
You are the lead developer for a new social media platform, InstaFriends, which allows users to create and share short video stories. You’ve just deployed a new Google Kubernetes Engine (GKE) cluster to manage the platform’s backend services. To ensure that your cluster consistently operates on a supported and stable version of Kubernetes, what should you do?;Enable the Node Auto-Upgrades feature for your GKE cluster.;Enable the Node Auto-Repair feature for your GKE cluster.;Select the latest available cluster version for your GKE cluster.;Select “Container-Optimized OS (cos)” as a node image for your GKE cluster.
TechCraft is a fictional company that has developed a new social media app called SnapWave. The app is hosted on Google Cloud and has gained popularity quickly, requiring TechCraft to scale up its infrastructure. They have set up an instance group to handle traffic, and they want to ensure that traffic to their web application, which is served over HTTPS, is properly load-balanced. TechCraft also wants the load balancer to terminate the SSL session at the load balancer itself, following Google-recommended practices. What should TechCraft do?;Configure an HTTP(S) load balancer.;Configure an internal TCP load balancer.;Configure an external SSL proxy load balancer.;Configure an external TCP proxy load balancer.
Your company, Horizon Games, operates an online multiplayer gaming platform, and all of your on-premises servers are running at full capacity due to high user demand. You want to expand your operations to Google Cloud to handle the additional load. It's essential that the workloads running in Google Cloud can communicate directly with your on-premises servers using a private IP range, as some services require low-latency, private communication. What should you do?;Set up Cloud VPN between the infrastructure on-premises and Google Cloud.;In Google Cloud, configure the VPC as a host for Shared VPC.;In Google Cloud, configure the VPC for VPC Network Peering.;Create bastion hosts both in your on-premises environment and on Google Cloud. Configure both as proxy servers using their public IP addresses.
Your company, FinAnalyze, has been using BigQuery as a core part of its data analysis infrastructure. Over the years, various teams within the organization have created over 1000 datasets spread across numerous GCP projects. Your CTO has asked you to review all these datasets and identify any tables that contain a column named customer_id. You want to approach this task efficiently and with minimal manual effort. What should you do?;Use Data Catalog to search for customer_id in the search box.;Create a shell script that leverages the bq command line tool to loop through all the projects in your organization.;Develop a script that loops through all projects and queries the INFORMATION_SCHEMA.COLUMNS view to locate the customer_id column.;Write a Cloud Dataflow job that loops through all projects and queries the INFORMATION_SCHEMA.COLUMNS view to find the customer_id column.
You are the lead DevOps engineer at a new online recipe-sharing platform called DishDojo. You’ve deployed your application on a Google Kubernetes Engine (GKE) cluster, which consists of a single preemptible node pool. To check the status of your app, you run the below command. The app is configured as a deployment resource with two replicas. Upon reviewing the output, you observe that one pod is in a Running status while the second one remains in a Pending state. What could be causing this issue?;There are too many Pods running on the cluster already, leaving insufficient resources to schedule the pending Pod.;The pending Pod is requesting more resources than what a single node in the cluster can provide.;The node pool’s service account does not have the necessary permissions to pull the container images required by the pending Pod.;Preemptible nodes are in use, and the pod might have been running on a node that was preempted. The pod will be rescheduled on a new node.
Your company, QuickBites, has a web app that helps users order food from local restaurants. The app is hosted using Google Cloud's App Engine, and it was originally configured to run in the us-central1 region. However, due to increasing demand from users in Asia, you now want the app to be served from the asia-northeast1 region. What should you do?;- Create a new GCP project and create an App Engine application inside this new project. - Specify asia-northeast1 as the region to serve your application.;Change the default region property setting in the existing GCP project to asia-northeast1.;Change the region property setting in the existing App Engine application from us-central1 to asia-northeast1.;- Create a second App Engine application in the existing GCP project. - Specify asia-northeast1 as the region to serve your application.
You are deploying a file-sharing application called ShareSync to a Compute Engine VM within a managed instance group. The ShareSync app must be available at all times to users, but only one instance of the VM should be active across the entire GCP project. How would you configure the instance group for this requirement?;- Set autoscaling to Off - set the minimum number of instances to 1 - set the maximum number of instances to 1;- Set autoscaling to On - Set the minimum number of instances to 1 - Set the maximum number of instances to 1;- Set autoscaling to On - Set the minimum number of instances to 1 - Set the maximum number of instances to 2;- Set autoscaling to Off - Set the minimum number of instances to 1 - Set the maximum number of instances to 2
You have been hired as a cloud engineer for a fictional company called SkyApp, which runs a cloud-based weather forecasting service. You need to verify the IAM users and roles assigned within a GCP project named skyapp-weather. What should you do?;- Navigate to the project and then to the IAM section in the GCP Console. - Review the members and roles.;- Run “gcloud iam roles list”. - Review the output section.;- Run “gcloud iam service-accounts list”. - Review the output section.;- Navigate to the project and then to the Roles section in the GCP Console. - Review the roles and status.
You are managing the cloud infrastructure for a company called "SnapDine," a fictional app that allows users to share real-time restaurant recommendations. You need to create a new billing account and link it with an existing Google Cloud Platform project that manages SnapDine's backend services. What steps should you take?;- Verify that you are the Project Billing Manager for the GCP project. - Create a new billing account and link the new billing account to the existing project.;- Verify that you are the Project Billing Manager for the GCP project. - Update the existing project to link it to the existing billing account.;- Verify that you are the Billing Administrator for the billing account. - Create a new project and link the new project to the existing billing account.;- Verify that you are the Billing Administrator for the billing account. - Update the existing project to link it to the existing billing account.
